candidato,votos,porcentaje,nivel,region,distrito,comuna
JOHANNES KAISER BARENTS-VON HOHENHAGEN,65,8.860000000000001,comuna,DE ANTOFAGASTA,DISTRITO 3,OLLAGUE
JOSE ANTONIO KAST RIST,117,15.94,comuna,DE ANTOFAGASTA,DISTRITO 3,OLLAGUE
EDUARDO ANTONIO ARTES BRICHETTI,4,0.54,comuna,DE ANTOFAGASTA,DISTRITO 3,OLLAGUE
EVELYN MATTHEI FORNET,20,2.72,comuna,DE ANTOFAGASTA,DISTRITO 3,OLLAGUE
HAROLD MAYNE-NICHOLLS SECUL,1,0.14,comuna,DE ANTOFAGASTA,DISTRITO 3,OLLAGUE
FRANCO PARISI FERNANDEZ,2192,33.839999999999996,comuna,DE ANTOFAGASTA,DISTRITO 3,SAN PEDRO DE ATACAMA
JEANNETTE JARA ROMAN,2065,31.88,comuna,DE ANTOFAGASTA,DISTRITO 3,SAN PEDRO DE ATACAMA
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,93,1.44,comuna,DE ANTOFAGASTA,DISTRITO 3,SAN PEDRO DE ATACAMA
JOHANNES KAISER BARENTS-VON HOHENHAGEN,670,10.34,comuna,DE ANTOFAGASTA,DISTRITO 3,SAN PEDRO DE ATACAMA
JOSE ANTONIO KAST RIST,931,14.370000000000001,comuna,DE ANTOFAGASTA,DISTRITO 3,SAN PEDRO DE ATACAMA
EDUARDO ANTONIO ARTES BRICHETTI,48,0.74,comuna,DE ANTOFAGASTA,DISTRITO 3,SAN PEDRO DE ATACAMA
EVELYN MATTHEI FORNET,404,6.24,comuna,DE ANTOFAGASTA,DISTRITO 3,SAN PEDRO DE ATACAMA
HAROLD MAYNE-NICHOLLS SECUL,74,1.1400000000000001,comuna,DE ANTOFAGASTA,DISTRITO 3,SAN PEDRO DE ATACAMA
FRANCO PARISI FERNANDEZ,442,41.9,comuna,DE ANTOFAGASTA,DISTRITO 3,SIERRA GORDA
JEANNETTE JARA ROMAN,241,22.84,comuna,DE ANTOFAGASTA,DISTRITO 3,SIERRA GORDA
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,8,0.76,comuna,DE ANTOFAGASTA,DISTRITO 3,SIERRA GORDA
JOHANNES KAISER BARENTS-VON HOHENHAGEN,128,12.129999999999999,comuna,DE ANTOFAGASTA,DISTRITO 3,SIERRA GORDA
JOSE ANTONIO KAST RIST,172,16.3,comuna,DE ANTOFAGASTA,DISTRITO 3,SIERRA GORDA
EDUARDO ANTONIO ARTES BRICHETTI,2,0.19,comuna,DE ANTOFAGASTA,DISTRITO 3,SIERRA GORDA
EVELYN MATTHEI FORNET,53,5.02,comuna,DE ANTOFAGASTA,DISTRITO 3,SIERRA GORDA
HAROLD MAYNE-NICHOLLS SECUL,9,0.8500000000000001,comuna,DE ANTOFAGASTA,DISTRITO 3,SIERRA GORDA
FRANCO PARISI FERNANDEZ,2898,36.91,comuna,DE ANTOFAGASTA,DISTRITO 3,TALTAL
JEANNETTE JARA ROMAN,2091,26.630000000000003,comuna,DE ANTOFAGASTA,DISTRITO 3,TALTAL
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,109,1.3900000000000001,comuna,DE ANTOFAGASTA,DISTRITO 3,TALTAL
JOHANNES KAISER BARENTS-VON HOHENHAGEN,926,11.79,comuna,DE ANTOFAGASTA,DISTRITO 3,TALTAL
JOSE ANTONIO KAST RIST,1313,16.72,comuna,DE ANTOFAGASTA,DISTRITO 3,TALTAL
EDUARDO ANTONIO ARTES BRICHETTI,35,0.45,comuna,DE ANTOFAGASTA,DISTRITO 3,TALTAL
EVELYN MATTHEI FORNET,414,5.2700000000000005,comuna,DE ANTOFAGASTA,DISTRITO 3,TALTAL
HAROLD MAYNE-NICHOLLS SECUL,66,0.8400000000000001,comuna,DE ANTOFAGASTA,DISTRITO 3,TALTAL
FRANCO PARISI FERNANDEZ,6623,40.5,comuna,DE ANTOFAGASTA,DISTRITO 3,TOCOPILLA
JEANNETTE JARA ROMAN,4353,26.62,comuna,DE ANTOFAGASTA,DISTRITO 3,TOCOPILLA
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,201,1.23,comuna,DE ANTOFAGASTA,DISTRITO 3,TOCOPILLA
JOHANNES KAISER BARENTS-VON HOHENHAGEN,1654,10.11,comuna,DE ANTOFAGASTA,DISTRITO 3,TOCOPILLA
JOSE ANTONIO KAST RIST,2442,14.93,comuna,DE ANTOFAGASTA,DISTRITO 3,TOCOPILLA
EDUARDO ANTONIO ARTES BRICHETTI,94,0.5700000000000001,comuna,DE ANTOFAGASTA,DISTRITO 3,TOCOPILLA
EVELYN MATTHEI FORNET,847,5.18,comuna,DE ANTOFAGASTA,DISTRITO 3,TOCOPILLA
HAROLD MAYNE-NICHOLLS SECUL,139,0.8500000000000001,comuna,DE ANTOFAGASTA,DISTRITO 3,TOCOPILLA
FRANCO PARISI FERNANDEZ,65798,32.6,region,DE ATACAMA,NA,NA
JEANNETTE JARA ROMAN,53389,26.45,region,DE ATACAMA,NA,NA
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,2333,1.1600000000000001,region,DE ATACAMA,NA,NA
JOHANNES KAISER BARENTS-VON HOHENHAGEN,26496,13.129999999999999,region,DE ATACAMA,NA,NA
JOSE ANTONIO KAST RIST,37957,18.810000000000002,region,DE ATACAMA,NA,NA
EDUARDO ANTONIO ARTES BRICHETTI,1108,0.55,region,DE ATACAMA,NA,NA
EVELYN MATTHEI FORNET,12695,6.29,region,DE ATACAMA,NA,NA
HAROLD MAYNE-NICHOLLS SECUL,2043,1.01,region,DE ATACAMA,NA,NA
FRANCO PARISI FERNANDEZ,1565,43.160000000000004,comuna,DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN
JEANNETTE JARA ROMAN,759,20.93,comuna,DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,49,1.35,comuna,DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN
JOHANNES KAISER BARENTS-VON HOHENHAGEN,401,11.06,comuna,DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN
JOSE ANTONIO KAST RIST,611,16.85,comuna,DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN
EDUARDO ANTONIO ARTES BRICHETTI,14,0.39,comuna,DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN
EVELYN MATTHEI FORNET,213,5.87,comuna,DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN
HAROLD MAYNE-NICHOLLS SECUL,14,0.39,comuna,DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN
FRANCO PARISI FERNANDEZ,3993,29.27,comuna,DE ATACAMA,DISTRITO 4,CALDERA
JEANNETTE JARA ROMAN,4156,30.459999999999997,comuna,DE ATACAMA,DISTRITO 4,CALDERA
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,161,1.1800000000000002,comuna,DE ATACAMA,DISTRITO 4,CALDERA
JOHANNES KAISER BARENTS-VON HOHENHAGEN,1964,14.39,comuna,DE ATACAMA,DISTRITO 4,CALDERA
JOSE ANTONIO KAST RIST,2201,16.130000000000003,comuna,DE ATACAMA,DISTRITO 4,CALDERA
EDUARDO ANTONIO ARTES BRICHETTI,70,0.51,comuna,DE ATACAMA,DISTRITO 4,CALDERA
EVELYN MATTHEI FORNET,982,7.2,comuna,DE ATACAMA,DISTRITO 4,CALDERA
HAROLD MAYNE-NICHOLLS SECUL,117,0.8600000000000001,comuna,DE ATACAMA,DISTRITO 4,CALDERA
FRANCO PARISI FERNANDEZ,3109,34.59,comuna,DE ATACAMA,DISTRITO 4,CHAÑARAL
JEANNETTE JARA ROMAN,2785,30.99,comuna,DE ATACAMA,DISTRITO 4,CHAÑARAL
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,99,1.1,comuna,DE ATACAMA,DISTRITO 4,CHAÑARAL
JOHANNES KAISER BARENTS-VON HOHENHAGEN,909,10.11,comuna,DE ATACAMA,DISTRITO 4,CHAÑARAL
JOSE ANTONIO KAST RIST,1445,16.08,comuna,DE ATACAMA,DISTRITO 4,CHAÑARAL
EDUARDO ANTONIO ARTES BRICHETTI,34,0.38,comuna,DE ATACAMA,DISTRITO 4,CHAÑARAL
EVELYN MATTHEI FORNET,528,5.88,comuna,DE ATACAMA,DISTRITO 4,CHAÑARAL
HAROLD MAYNE-NICHOLLS SECUL,78,0.8700000000000001,comuna,DE ATACAMA,DISTRITO 4,CHAÑARAL
FRANCO PARISI FERNANDEZ,32695,30.51,comuna,DE ATACAMA,DISTRITO 4,COPIAPO
JEANNETTE JARA ROMAN,27744,25.89,comuna,DE ATACAMA,DISTRITO 4,COPIAPO
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,1275,1.1900000000000002,comuna,DE ATACAMA,DISTRITO 4,COPIAPO
JOHANNES KAISER BARENTS-VON HOHENHAGEN,14439,13.48,comuna,DE ATACAMA,DISTRITO 4,COPIAPO
JOSE ANTONIO KAST RIST,21704,20.259999999999998,comuna,DE ATACAMA,DISTRITO 4,COPIAPO
